StudentID,SubjectArea,TestName,TestAttemptCode,Score,LevelCode,MetStandard
7280139,ELA,Smarter Balanced Assessment,NB,,L0,N
3383413,ELA,Smarter Balanced Assessment,TS,2272,L1,N
3429749,ELA,Smarter Balanced Assessment,TS,2374,L2,N
6500583,ELA,Smarter Balanced Assessment,TS,2471,L3,Y
3604741,ELA,Smarter Balanced Assessment,TS,2404,L2,N
6533772,ELA,Smarter Balanced Assessment,TS,2504,L2,N
3426712,ELA,Smarter Balanced Assessment,TS,2513,L4,Y
7830351,ELA,Smarter Balanced Assessment,NB,,L0,N
6981729,ELA,Smarter Balanced Assessment,TS,2418,L1,N
7583839,ELA,Smarter Balanced Assessment,TS,2518,L2,N
7585996,ELA,Smarter Balanced Assessment,NB,,L0,N
3864419,ELA,Smarter Balanced Assessment,TS,2490,L2,N
7880949,ELA,Smarter Balanced Assessment,NB,,L0,N
7832164,ELA,Smarter Balanced Assessment,TS,2577,L3,Y
3344442,ELA,Smarter Balanced Assessment,TS,2440,L1,N
6079486,ELA,Smarter Balanced Assessment,TS,2515,L3,Y
7328961,ELA,Smarter Balanced Assessment,TS,2695,L4,Y
7234884,ELA,Smarter Balanced Assessment,TS,2388,L1,N
6665742,ELA,Smarter Balanced Assessment,TS,2477,L2,N
6246791,ELA,Smarter Balanced Assessment,TS,2618,L4,Y
6133701,ELA,Smarter Balanced Assessment,TS,2599,L3,Y
3541413,ELA,Smarter Balanced Assessment,TS,2651,L3,Y
7433955,ELA,Smarter Balanced Assessment,NB,,L0,N
7648663,ELA,Smarter Balanced Assessment,NB,,L0,N
7581993,ELA,Smarter Balanced Assessment,TS,2664,L3,Y
7729909,ELA,Smarter Balanced Assessment,NB,,L0,N
7418100,ELA,Smarter Balanced Assessment,TS,2586,L3,Y
6609770,ELA,Smarter Balanced Assessment,TS,2489,L2,N
3729447,ELA,Smarter Balanced Assessment,NN,,--,-
3326788,ELA,Smarter Balanced Assessment,TS,2516,L3,Y
7600875,ELA,Smarter Balanced Assessment,TS,2496,L2,N
6704781,ELA,Smarter Balanced Assessment,TS,2570,L3,Y
7594222,ELA,Smarter Balanced Assessment,NB,,L0,N
3628786,ELA,Smarter Balanced Assessment,TS,2434,L2,N
