School,Grade,Ethnicity,HomeLang,ReadingPercentTotal,MathPercentTotal
117,7,African-American,Amharic,1.5,5
245,5,African-American,NA,1,1
935,5,African-American,NA,30,28.5
117,6,White,NA,99,98.5
272,4,Hispanic,Spanish,8.5,33
117,7,African-American,Somali,9,6
117,6,African-American,Somali,53,16.5
935,5,African-American,NA,67,58.5
939,7,Hispanic,NA,17,16
233,5,African-American,NA,NA,NA
117,6,Asian,Vietnamese,35.5,48
117,7,African-American,NA,30,31.5
104,8,African-American,NA,25,2
117,8,Asian,Vietnamese,76.5,86
244,3,I,NA,17.5,72
212,4,Hispanic,Spanish,49,51
117,8,African-American,Somali,20,32.5
117,7,Asian,Vietnamese,31.5,48
244,5,White,NA,75,63.5
226,4,Asian,Vietnamese,61,45
130,6,African-American,Somali,4,28
117,7,African-American,NA,86.5,89.5
117,6,Asian,Vietnamese,65,48
