,Reference Area,Year,Observation Value,Continent
3737,Malawi,1996,6,Africa
3738,Malawi,1995,6,Africa
3739,Malawi,1994,6,Africa
3740,Malawi,1993,6,Africa
3741,Malawi,1992,6,Africa
3742,Malawi,1991,6,Africa
3743,Malawi,1990,6,Africa
3744,Malawi,1989,6,Africa
3745,Malawi,1988,6,Africa
3746,Malawi,1987,6,Africa
3747,Malawi,1986,6,Africa
3748,Malawi,1985,6,Africa
3749,Malawi,1984,6,Africa
3750,Malawi,1983,6,Africa
3751,Malawi,1982,6,Africa
3752,Malawi,1981,6,Africa
3753,Malawi,1980,6,Africa
3754,Malawi,1979,6,Africa
3755,Malawi,1978,6,Africa
3756,Malawi,1977,6,Africa
3757,Malawi,1976,6,Africa
3758,Malawi,1975,6,Africa
3958,Mauritania,2014,6,Africa
3959,Mauritania,2013,6,Africa
3960,Mauritania,2012,6,Africa
3961,Mauritania,2011,6,Africa
3962,Mauritania,2010,6,Africa
3963,Mauritania,2009,6,Africa
3964,Mauritania,2008,6,Africa
3965,Mauritania,2007,6,Africa
3966,Mauritania,2006,6,Africa
3967,Mauritania,2005,6,Africa
