"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Bolivia","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1497868",""
"Bolivia","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1348126","7"
"Bolivia","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1629086",""
"Bolivia","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1377820","7"
"Bosnia and Herzegovina","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1307988","2"
"Bosnia and Herzegovina","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1338224","2"
"Botswana","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","681011","4"
"Botswana","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","385614",""
"Botswana","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","484058","4"
"Botswana","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","471809","4"
"Botswana","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","636795","4"
"Botswana","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","384769",""
"Botswana","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","422913","4"
"Botswana","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","410781","4"
"Brazil","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","15152189","8"
"Brazil","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","16266856","2"
"Brazil","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","17203619","2"
"Brazil","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","16693022","9"
"Brazil","Rural Male","1996","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","17726476","2"
"Brazil","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","18630866","2"
"Brunei","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","45217","10"
"Brunei","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","40062",""
"Brunei","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","48928","10"
"Brunei","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","47009",""
"Bulgaria","Rural Female","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1185432",""
"Bulgaria","Rural Female","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1197621",""
"Bulgaria","Rural Female","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1216526",""
"Bulgaria","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1243214",""
"Bulgaria","Rural Female","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1234354",""
"Bulgaria","Rural Female","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1313795",""
"Bulgaria","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1361362",""
"Bulgaria","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1367497",""
"Bulgaria","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1377384",""
"Bulgaria","Rural Female","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1393465",""
"Bulgaria","Rural Female","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1414652",""
"Bulgaria","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1448255",""
"Bulgaria","Rural Female","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1463265",""
"Bulgaria","Rural Female","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1484125",""
"Bulgaria","Rural Female","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1508189",""
"Bulgaria","Rural Female","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1535477",""
"Bulgaria","Rural Female","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1574362",""
"Bulgaria","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1584391",""
"Bulgaria","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1563124",""
"Bulgaria","Rural Male","2004","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1155193",""
"Bulgaria","Rural Male","2003","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1166593",""
"Bulgaria","Rural Male","2002","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1184597",""
"Bulgaria","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1211153",""
"Bulgaria","Rural Male","2001","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1201343",""
"Bulgaria","Rural Male","2000","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1279161",""
"Bulgaria","Rural Male","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1326807",""
"Bulgaria","Rural Male","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1336437",""
"Bulgaria","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1347995",""
"Bulgaria","Rural Male","1993","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1366177",""
"Bulgaria","Rural Male","1992","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1388270",""
"Bulgaria","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1414308",""
"Bulgaria","Rural Male","1990","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1430429",""
"Bulgaria","Rural Male","1989","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1454258",""
"Bulgaria","Rural Male","1988","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1482362",""
"Bulgaria","Rural Male","1987","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1514637",""
"Bulgaria","Rural Male","1986","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1543974",""
"Bulgaria","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","1567667",""
"Bulgaria","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","1527460",""
"Burkina Faso","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4570258","11"
"Burkina Faso","Rural Female","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","4053638","11"
"Burkina Faso","Rural Female","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3677170","2"
"Burkina Faso","Rural Male","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3849525","11"
"Burkina Faso","Rural Male","1991","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","3849868","11"
"Burkina Faso","Rural Male","1985","UNSD_Demographic Yearbook Database_Sep2007 (Census figure)","Number","3358606","2"
"Burundi","Rural Female","1997","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2949812","4"
"Burundi","Rural Female","1996","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2906303","4"
"Burundi","Rural Female","1995","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2863096","4"
"Burundi","Rural Female","1994","UNSD_Demographic Yearbook Database_Sep2007 (Official national estimate)","Number","2818624","4"
